Member_ID,End,Fx,Fy,Fz,Mx,My,Mz,End,Fx,Fy,Fz,Mx,My,Mz
128,Node_I,2.96472,0.38382,-0.37413,-2.230785,18.780901,-1.843005,Node_J,-2.96472,-0.38382,0.37413,2.230785,32.772385,54.731544
129,Node_I,3.586849,1.904563,-0.615319,1.595703,44.445583,125.326347,Node_J,-3.586849,-1.904563,0.615319,-1.595703,40.342464,137.11351
130,Node_I,10.698935,1.386828,0.554486,-11.42947,-39.58276,118.27166,Node_J,-10.698935,-1.386828,-0.554486,11.42947,-36.822769,72.826683
131,Node_I,-0.096961,0.218024,1.284229,-8.397351,-87.614807,25.44393,Node_J,0.096961,-0.218024,-1.284229,8.397351,-89.345947,4.598802
132,Node_I,0.854764,-4.697224,-0.282656,14.028206,14.051425,-206.672714,Node_J,-0.854764,4.697224,0.282656,-14.028206,1.528039,-52.22934
133,Node_I,3.352252,-21.996433,-0.653663,-22.16297,1.318779,-220.562454,Node_J,-3.352252,21.996433,0.653663,22.16297,24.415989,-645.439026
134,Node_I,-1.676345,1.019793,-0.259037,-25.435976,20.200453,-0.033283,Node_J,1.676345,-1.019793,0.259037,25.435976,14.167814,135.336456
135,Node_I,3.424431,-10.118874,0.104177,2.239341,-9.943357,-472.394867,Node_J,-3.424431,10.118874,-0.104177,-2.239341,-1.66379,-655.02301
136,Node_I,8.181815,-0.238402,-0.045756,2.811573,-2.359305,45.038696,Node_J,-8.181815,0.238402,0.045756,-2.811573,7.223167,-70.380676
137,Node_I,2.150918,-0.367339,-0.08253,0.647375,0.68245,-27.318218,Node_J,-2.150918,0.367339,0.08253,-0.647375,8.090385,-11.729612
138,Node_I,7.05181,-0.308992,-0.628994,-4.868471,45.958626,-90.261749,Node_J,-7.05181,0.308992,0.628994,4.868471,20.902924,57.41613
139,Node_I,8.650876,-0.172359,-0.694636,-9.002468,48.228413,39.082348,Node_J,-8.650876,0.172359,0.694636,9.002468,25.610807,-57.403965
140,Node_I,15.194999,2.497488,0.371007,-2.846818,-36.191177,272.793488,Node_J,-15.194999,-2.497488,-0.371007,2.846818,-3.246562,-7.312536
141,Node_I,8.009326,-5.100776,0.363214,-4.224457,-27.675318,-337.064362,Node_J,-8.009326,5.100776,-0.363214,4.224457,-10.934042,-205.144012
142,Node_I,-0.021673,0.272571,0.068496,4.959656,-2.699282,35.583458,Node_J,0.021673,-0.272571,-0.068496,-4.959656,-9.435817,12.7067
143,Node_I,-0.421389,-1.069263,-0.116299,-8.562087,8.669978,-53.546532,Node_J,0.421389,1.069263,0.116299,8.562087,9.110551,-109.928497
144,Node_I,0.506181,0.11332,-0.111357,-3.211498,8.53113,17.392746,Node_J,-0.506181,-0.11332,0.111357,3.211498,8.49375,-0.067755
145,Node_I,0.394643,-0.248156,0.099722,2.853652,-10.410574,-11.550343,Node_J,-0.394643,0.248156,-0.099722,-2.853652,-3.330585,-22.644428
146,Node_I,1.261835,2.136467,-0.214837,1.107426,15.234461,124.92057,Node_J,-1.261835,-2.136467,0.214837,-1.107426,14.061587,166.417328
147,Node_I,1.579781,-0.336379,0.195746,-1.709145,-15.619705,-15.42289,Node_J,-1.579781,0.336379,-0.195746,1.709145,-11.353159,-30.928556
148,Node_I,0.951351,-0.354234,-0.228411,-26.065926,16.300055,-26.151955,Node_J,-0.951351,0.354234,0.228411,26.065926,14.847051,-22.152931
149,Node_I,3.362091,-3.124233,-0.447377,-2.376369,6.117768,11.420071,Node_J,-3.362091,3.124233,0.447377,2.376369,-0.833784,-48.320499
150,Node_I,1.752522,3.425532,-1.551853,-5.470955,8.185592,101.78627,Node_J,-1.752522,-3.425532,1.551853,5.470955,10.143399,-61.327187
151,Node_I,4.347022,0.351425,0.53762,-1.956457,-15.074056,110.446236,Node_J,-4.347022,-0.351425,-0.53762,1.956457,8.724207,-106.29554
152,Node_I,5.801111,-0.339681,1.157094,8.896559,-31.444818,59.268238,Node_J,-5.801111,0.339681,-1.157094,-8.896559,17.778337,-63.280224
153,Node_I,4.53442,-1.401364,-1.318908,-2.848746,5.236488,42.783722,Node_J,-4.53442,1.401364,1.318908,2.848746,10.341182,-59.335285
